book_id,title,user_id,rating,review
1,Harry Potter and the Half-Blood Prince,314,5, Perfect for a potterhead
1,Harry Potter and the Half-Blood Prince,439,3,Watching movie will suck after reading this
1,Harry Potter and the Half-Blood Prince,588,5,Great book
1,Harry Potter and the Half-Blood Prince,1169,4,Breathtaking story! Heartbreaking end!
1,Harry Potter and the Half-Blood Prince,1185,4,Awesome book.
1,Harry Potter and the Half-Blood Prince,2077,4, A faster-paced and darker episode and with more Voldemort moving the series towards a conclusion
1,Harry Potter and the Half-Blood Prince,2487,4, Excellent
1,Harry Potter and the Half-Blood Prince,2900,5, Couldn't be better.
1,Harry Potter and the Half-Blood Prince,3662,4,Great
1,Harry Potter and the Half-Blood Prince,3922,5,The Stage for David and Goliath
1,Harry Potter and the Half-Blood Prince,5379,5,Bye Dumblydoorr
1,Harry Potter and the Half-Blood Prince,5461,3,A book without bookmark is no fun
1,Harry Potter and the Half-Blood Prince,5885,5,Ecstatic!
1,Harry Potter and the Half-Blood Prince,6630,5,This is mind blowing
1,Harry Potter and the Half-Blood Prince,7563,3,Not bad
1,Harry Potter and the Half-Blood Prince,9246,1,Mmmmm sticky finger prints
1,Harry Potter and the Half-Blood Prince,10140,4,Very Interesting
1,Harry Potter and the Half-Blood Prince,10146,5, Totally worth all your money.
1,Harry Potter and the Half-Blood Prince,10246,4,A Potter fan...
1,Harry Potter and the Half-Blood Prince,10335,4, Good story but lil unhappy with the font size 
1,Harry Potter and the Half-Blood Prince,10610,5,Totally MIND BLOWING AND HEARTBREAKING.
1,Harry Potter and the Half-Blood Prince,10944,5, Excellent
1,Harry Potter and the Half-Blood Prince,11854,4,Awesome stuff
1,Harry Potter and the Half-Blood Prince,11927,4,Nice book
1,Harry Potter and the Half-Blood Prince,12471,5, Excellent
1,Harry Potter and the Half-Blood Prince,13282,5, Not one of my personal favourites...
1,Harry Potter and the Half-Blood Prince,13544,5,nice
1,Harry Potter and the Half-Blood Prince,15494,5,awesome
1,Harry Potter and the Half-Blood Prince,16377,4,nice story
1,Harry Potter and the Half-Blood Prince,16913,5,awesome
1,Harry Potter and the Half-Blood Prince,17434,5,best book
1,Harry Potter and the Half-Blood Prince,17663,5,very good
1,Harry Potter and the Half-Blood Prince,17984,5,Excellent
1,Harry Potter and the Half-Blood Prince,18031,5,very good
1,Harry Potter and the Half-Blood Prince,18313,5,nice story
1,Harry Potter and the Half-Blood Prince,18361,4,attractive book
1,Harry Potter and the Half-Blood Prince,20076,3,not good
1,Harry Potter and the Half-Blood Prince,20467,3,ok
1,Harry Potter and the Half-Blood Prince,20848,5,Fabulous story
1,Harry Potter and the Half-Blood Prince,21228,5,very good
1,Harry Potter and the Half-Blood Prince,21487,4,very good
1,Harry Potter and the Half-Blood Prince,21713,5,Fabulous story
1,Harry Potter and the Half-Blood Prince,22602,4,nice
1,Harry Potter and the Half-Blood Prince,23576,4,very good
1,Harry Potter and the Half-Blood Prince,23612,4,Fabulous story
1,Harry Potter and the Half-Blood Prince,24326,5,awesome
1,Harry Potter and the Half-Blood Prince,24389,4,nice story
1,Harry Potter and the Half-Blood Prince,24499,5,attractive book
1,Harry Potter and the Half-Blood Prince,24834,4,best book
1,Harry Potter and the Half-Blood Prince,24845,5,Great book
1,Harry Potter and the Half-Blood Prince,25164,4,interesting
1,Harry Potter and the Half-Blood Prince,25182,5,nice story
1,Harry Potter and the Half-Blood Prince,25214,4,interesting
1,Harry Potter and the Half-Blood Prince,26145,4,nice story
1,Harry Potter and the Half-Blood Prince,26629,4,attractive book
1,Harry Potter and the Half-Blood Prince,26661,4,Great book
1,Harry Potter and the Half-Blood Prince,28158,4,nice story
1,Harry Potter and the Half-Blood Prince,28767,5,very good
1,Harry Potter and the Half-Blood Prince,29123,3,not bad
1,Harry Potter and the Half-Blood Prince,29703,5,awesome
1,Harry Potter and the Half-Blood Prince,30681,5, Excellent
