ProductID,UserID,Rating,Text
777,AV1YnR7wglJLPUi8IJmi,4,Great taffy at a great price.
767,AVpfpK8KLJeJML43BCuD,4,Absolutely wonderful - silky and sexy and comfortable
1080,AVqkIdntQMlgsOJE6fuB,5,Love this dress! it's sooo pretty.
1077,AVpfpK8KLJeJML43BCuD,3,I had such high hopes for this dress and really wanted it to work for me.
1049,AVpfpK8KLJeJML43BCuD,5,"I love, love, love this jumpsuit. it's fun, flirty, and fabulous! every time i wear it, i get nothing but great compliments!"
847,AVph0EeEilAPnD_x9myq,5,This shirt is very flattering to all due to the adjustable front tie. it is the perfect length to wear with leggings and it is sleeveless so it pairs well with any cardigan. love this shirt!!!
1080,AVph0EeEilAPnD_x9myq,2,I used this product only once and found its not worth nor its helpful.
858,AVph0EeEilAPnD_x9myq,1,Just horrible at trimming body hair.
858,AVph0EeEilAPnD_x9myq,0,I suggested not to buy.
1077,AVph0EeEilAPnD_x9myq,5,I love this dress. i usually get an xs but it runs a little snug in bust so i ordered up a size. very flattering and feminine with the usual retailer flair for style.
1077,AVph0EeEilAPnD_x9myq,1,Quality was too bad.
1077,AVph0EeEilAPnD_x9myq,3,Dress runs small esp where the zipper area runs. i ordered the sp which typically fits me and it was very tight!
1095,AVpfpK8KLJeJML43BCuD,5,This dress is perfection! so pretty and flattering.
1095,AVpfpK8KLJeJML43BCuD,1,Average quality of fabric poor stitching and poor finishing!
767,AVqkIdntQMlgsOJE6fuB,5,"i'm rather busty up top and the medium fit well, a small probably would've fit better but it's still super adorable."
1077,AVpfpK8KLJeJML43BCuD,3,This is a nice choice for holiday gatherings. i like that the length grazes the knee so it is conservative enough for office related gatherings.
1065,AVpfpK8KLJeJML43BCuD,4,"I took these out of the package and wanted them to fit so badly, but i could tell before i put them on that they wouldn't."
1065,AVzvXXwEvKc47QAVfRhx,3,Material and color is nice. the leg opening is very large.
853,AVpf_4sUilAPnD_xlwYV,5,Took a chance on this blouse and so glad i did. i wasn't crazy about how the blouse is photographed on the model.
1120,AVpf_4sUilAPnD_xlwYV,5,"A flattering, super cozy coat. will work well for cold, dry days and will look good with jeans or a dressier outfit."
1077,AVqkIdntQMlgsOJE6fuB,5,"I love the look and feel of this tulle dress. i was looking for something different, but not over the top for new year's eve."
847,AVpfpK8KLJeJML43BCuD,2,"i'm small chested and the top of this dress is form fitting for a flattering look. once i steamed the tulle, it was perfect! i ordered an xsp. length was perfect too."
1080,AVpgdkC8ilAPnD_xsvyi,3,"The sweater is cute, but scratchy."
1077,AVpgdkC8ilAPnD_xsvyi,2,Unusual color. expensive even on sale.
1077,AVzvXXwEvKc47QAVfRhx,1,Very cheap looking material. looks cheap to cost $158.
847,AVph0EeEilAPnD_x9myq,5,Warn and super soft. love it!
697,AVqkIdntQMlgsOJE6fuB,2,The material is cheap and looks torn. not as nice as the picture.
949,AVzvXXwEvKc47QAVfRhx,2,"Yes, this top runs large and it doesn't show your curves, but it's still really cute and fun to wear."
1003,AVzvXXwEvKc47QAVfRhx,4,Love this shirt. it fits great and can be easily layered!
684,AVzvXXwEvKc47QAVfRhx,5,"The fabric is too sheer, also looks like sleepwear. just not my thing."
444,AVpgdkC8ilAPnD_xsvyi,5,"The petites fit perfect!! these are so comfortable, i will get much us out of them!"
1060,AV1YnR7wglJLPUi8IJmi,5,I'm on the fence about this one. it is pretty
1060,AVzvXXwEvKc47QAVfRhx,5,"Very cute, and well made. fits true to size."
1060,AVqkEM34QMlgsOJE6e8q,5,"Very well made, wonderful fabric. fit perfectly everywhere but the bust."
949,AVzvXXwEvKc47QAVfRhx,2,"The fabric is thin, though. you better wash it in a bag or the washing machine will tear it up!"
697,AVpfIfGA1cnluZ0-emyp,1,The only negative about this dress was the placement of the stripe across your stomach
1060,AVphLY7v1cnluZ0-_Ty0,4,"cozy, comfortable, stylish. love mine!"
1002,AVpf_4sUilAPnD_xlwYV,1,"Just in one wash the fabric got so loose, the pants look faded."
949,AVzvXXwEvKc47QAVfRhx,1,Not worth for the money.
684,AVpfpK8KLJeJML43BCuD,5,Super cute and comfy pull over. sizing is accurate. material has a little bit of stretch.
862,AVzvXXwEvKc47QAVfRhx,5,Great casual top with flare. looks cute with grey pilcro stet jeans. flattering with peplum in back. nice cut for shoulders and neckline.
862,AVzvXXwEvKc47QAVfRhx,4,"Pretty and unique. great with jeans or i have worn it to work with slacks and heels. the colors, print, and embroidery are lovely. reasonably priced!"
862,AVphLY7v1cnluZ0-_Ty0,2,This is a beautiful top. it's unique and not so ordinary. i bought my usual medium and i found that it fits tight across my chest.
910,AVphLY7v1cnluZ0-_Ty0,5,i love this look for fall and it can roll right into spring. great buy!!
89,AVphLY7v1cnluZ0-_Ty0,4,"First, this is thermal ,so naturally i didn't expect super sheer, but it is. really sheer light fabric. i like it, but be prepared for considering who you might run into if you walk around the house in it"
