,book_id,title,user_id,rating,review,sentiment,score,raw_ratings
0,1,Harry Potter and the Half-Blood Prince,314,5, Perfect for a potterhead,1,5,5
1,1,Harry Potter and the Half-Blood Prince,439,3,Watching movie will suck after reading this,0,0,3
2,1,Harry Potter and the Half-Blood Prince,588,5,Great book,0.8,4,5
3,1,Harry Potter and the Half-Blood Prince,1169,4,Breathtaking story! Heartbreaking end!,1,4,5
4,1,Harry Potter and the Half-Blood Prince,1185,4,Awesome book.,1,4,5
5,1,Harry Potter and the Half-Blood Prince,2077,4, A faster-paced and darker episode and with more Voldemort moving the series towards a conclusion,0,0,3
6,1,Harry Potter and the Half-Blood Prince,2487,4, Excellent,1,4,5
7,1,Harry Potter and the Half-Blood Prince,2900,5, Couldn't be better.,0.5,2.5,4
8,1,Harry Potter and the Half-Blood Prince,3662,4,Great,0.8,3.2,4
9,1,Harry Potter and the Half-Blood Prince,3922,5,The Stage for David and Goliath,0,0,3
10,1,Harry Potter and the Half-Blood Prince,5379,5,Bye Dumblydoorr,0,0,3
11,1,Harry Potter and the Half-Blood Prince,5461,3,A book without bookmark is no fun,0.3,0.9,3
12,1,Harry Potter and the Half-Blood Prince,5885,5,Ecstatic!,0,0,3
13,1,Harry Potter and the Half-Blood Prince,6630,5,This is mind blowing,0,0,3
14,1,Harry Potter and the Half-Blood Prince,7563,3,Not bad,0.35,1.05,3
15,1,Harry Potter and the Half-Blood Prince,9246,1,Mmmmm sticky finger prints,0,0,3
16,1,Harry Potter and the Half-Blood Prince,10140,4,Very Interesting,0.65,2.6,4
17,1,Harry Potter and the Half-Blood Prince,10146,5, Totally worth all your money.,0.3,1.5,3
18,1,Harry Potter and the Half-Blood Prince,10246,4,A Potter fan...,0,0,3
19,1,Harry Potter and the Half-Blood Prince,10335,4, Good story but lil unhappy with the font size ,0.05,0.2,3
20,1,Harry Potter and the Half-Blood Prince,10610,5,Totally MIND BLOWING AND HEARTBREAKING.,0,0,3
21,1,Harry Potter and the Half-Blood Prince,10944,5, Excellent,1,5,5
22,1,Harry Potter and the Half-Blood Prince,11854,4,Awesome stuff,1,4,5
23,1,Harry Potter and the Half-Blood Prince,11927,4,Nice book,0.6,2.4,4
24,1,Harry Potter and the Half-Blood Prince,12471,5, Excellent,1,5,5
25,1,Harry Potter and the Half-Blood Prince,13282,5, Not one of my personal favourites...,0,0,3
26,1,Harry Potter and the Half-Blood Prince,13544,5,nice,0.6,3,4
27,1,Harry Potter and the Half-Blood Prince,15494,5,awesome,1,5,5
28,1,Harry Potter and the Half-Blood Prince,16377,4,nice story,0.6,2.4,4
29,1,Harry Potter and the Half-Blood Prince,16913,5,awesome,1,5,5
30,1,Harry Potter and the Half-Blood Prince,17434,5,best book,1,5,5
31,1,Harry Potter and the Half-Blood Prince,17663,5,very good,0.7,3.5,5
32,1,Harry Potter and the Half-Blood Prince,17984,5,Excellent,1,5,5
33,1,Harry Potter and the Half-Blood Prince,18031,5,very good,0.7,3.5,5
34,1,Harry Potter and the Half-Blood Prince,18313,5,nice story,0.6,3,4
35,1,Harry Potter and the Half-Blood Prince,18361,4,attractive book,0.8,3.2,4
36,1,Harry Potter and the Half-Blood Prince,20076,3,not good,0.7,2.1,4
37,1,Harry Potter and the Half-Blood Prince,20467,3,ok,0.5,1.5,3
38,1,Harry Potter and the Half-Blood Prince,20848,5,Fabulous story,0.4,2,4
39,1,Harry Potter and the Half-Blood Prince,21228,5,very good,0.7,3.5,5
40,1,Harry Potter and the Half-Blood Prince,21487,4,very good,0.7,2.8,4
41,1,Harry Potter and the Half-Blood Prince,21713,5,Fabulous story,0.4,2,4
42,1,Harry Potter and the Half-Blood Prince,22602,4,nice,0.6,2.4,4
43,1,Harry Potter and the Half-Blood Prince,23576,4,very good,0.7,2.8,4
44,1,Harry Potter and the Half-Blood Prince,23612,4,Fabulous story,0.4,1.6,3
45,1,Harry Potter and the Half-Blood Prince,24326,5,awesome,1,5,5
46,1,Harry Potter and the Half-Blood Prince,24389,4,nice story,0.6,2.4,4
47,1,Harry Potter and the Half-Blood Prince,24499,5,attractive book,0.8,4,5
48,1,Harry Potter and the Half-Blood Prince,24834,4,best book,1,4,5
49,1,Harry Potter and the Half-Blood Prince,24845,5,Great book,0.8,4,5
50,1,Harry Potter and the Half-Blood Prince,25164,4,interesting,0.5,2,4
51,1,Harry Potter and the Half-Blood Prince,25182,5,nice story,0.6,3,4
52,1,Harry Potter and the Half-Blood Prince,25214,4,interesting,0.5,2,4
53,1,Harry Potter and the Half-Blood Prince,26145,4,nice story,0.6,2.4,4
54,1,Harry Potter and the Half-Blood Prince,26629,4,attractive book,0.8,3.2,4
55,1,Harry Potter and the Half-Blood Prince,26661,4,Great book,0.8,3.2,4
56,1,Harry Potter and the Half-Blood Prince,28158,4,nice story,0.6,2.4,4
57,1,Harry Potter and the Half-Blood Prince,28767,5,very good,0.7,3.5,5
58,1,Harry Potter and the Half-Blood Prince,29123,3,not bad,-0.7,-2.1,1
59,1,Harry Potter and the Half-Blood Prince,29703,5,awesome,1,5,5
60,1,Harry Potter and the Half-Blood Prince,30681,5, Excellent,1,5,5
61,1,Harry Potter and the Half-Blood Prince,31001,4, Excellent,1,4,5
62,1,Harry Potter and the Half-Blood Prince,32055,4,very good,0.7,2.8,4
63,1,Harry Potter and the Half-Blood Prince,32305,5,interesting,0.5,2.5,4
64,1,Harry Potter and the Half-Blood Prince,32592,4,very good,0.7,2.8,4
65,1,Harry Potter and the Half-Blood Prince,32635,5,attractive book,0.8,4,5
66,1,Harry Potter and the Half-Blood Prince,32748,5, Excellent,1,5,5
67,1,Harry Potter and the Half-Blood Prince,32923,5,best book,1,5,5
68,1,Harry Potter and the Half-Blood Prince,33065,4, Excellent,1,4,5
